Response	Gene ENSEMBL ID
LBW242	ENSG00000148730
LBW242	ENSG00000165934
LBW242	ENSG00000092148
LBW242	ENSG00000099864
LBW242	ENSG00000240194
LBW242	ENSG00000107829
LBW242	EMID2
LBW242	ENSG00000048991
LBW242	ENSG00000205763
LBW242	ENSG00000084093
LBW242	ENSG00000164587
LBW242	ENSG00000143322
LBW242	ENSG00000099725
LBW242	ENSG00000189241
LBW242	LOC100506108
LBW242	ENSG00000185860
LBW242	ENSG00000156650
LBW242	C12orf39
LBW242	ENSG00000100084
LBW242	ENSG00000164821
LBW242	ENSG00000129167
LBW242	ENSG00000152990
LBW242	ENSG00000115350
LBW242	ENSG00000063180
LBW242	ENSG00000122547
LBW242	ENSG00000076924
LBW242	ENSG00000081985
LBW242	FLJ22184
LBW242	ENSG00000120210
LBW242	ENSG00000205858
LBW242	C13orf33
LBW242	ENSG00000132429
LBW242	ENSG00000170369
LBW242	ENSG00000163012
LBW242	LRG_102
LBW242	ENSG00000106648
LBW242	C10orf46
LBW242	ENSG00000002746
LBW242	ENSG00000146063
LBW242	ENSG00000211956
LBW242	ENSG00000196072
LBW242	LOC100507086
LBW242	ENSG00000165509
LBW242	ENSG00000134827
LBW242	ENSG00000116106
LBW242	ENSG00000119912
LBW242	ENSG00000156671
LBW242	ENSG00000180113
LBW242	ENSG00000184786
LBW242	ENSG00000196670
LBW242	ENSG00000274454
LBW242	ENSG00000029993
LBW242	ENSG00000122406
LBW242	ENSG00000095564
LBW242	ENSG00000127561
LBW242	ENSG00000280987
LBW242	ENSG00000113300
LBW242	ENSG00000119596
LBW242	ENSG00000214711
LBW242	LOC100506679
LBW242	ENSG00000110195
LBW242	ENSG00000166634
LBW242	ENSG00000173237
LBW242	ENSG00000240922
LBW242	ENSG00000157680
LBW242	LOC285847
LBW242	ENSG00000157765
LBW242	LOC100652912
LBW242	ENSG00000153363
LBW242	ENSG00000106392
LBW242	ENSG00000179058
LBW242	LOC100506714
LBW242	ENSG00000153294
LBW242	ENSG00000114854
LBW242	ENSG00000124140
LBW242	KIAA1704
LBW242	ENSG00000005175
LBW242	C1orf201
LBW242	ENSG00000144579
LBW242	ENSG00000130731
LBW242	ENSG00000100441
LBW242	ENSG00000184560
LBW242	ENSG00000104499
LBW242	ENSG00000119707
LBW242	ENSG00000213015
LBW242	ENSG00000078304
LBW242	ENSG00000053438
LBW242	ENSG00000184148
LBW242	ENSG00000079931
LBW242	ENSG00000103249
LBW242	ENSG00000269526
LBW242	ENSG00000232307
LBW242	LOC339975
LBW242	ENSG00000038295
LBW242	MLL2
LBW242	ENSG00000159640
LBW242	ENSG00000263001
LBW242	LOC100505668
LBW242	ENSG00000105926
LBW242	ENSG00000166189
LBW242	ENSG00000157216
LBW242	ENSG00000090581
LBW242	FAM125A
LBW242	ENSG00000147003
LBW242	ENSG00000196961
LBW242	ENSG00000067646
LBW242	ENSG00000077147
LBW242	ENSG00000163221
LBW242	ENSG00000108947
LBW242	ENSG00000242259
LBW242	ENSG00000169239
LBW242	ENSG00000221890
LBW242	ENSG00000105705
LBW242	ENSG00000274084
LBW242	ENSG00000137575
LBW242	ENSG00000170852
LBW242	ENSG00000090060
LBW242	ENSG00000144659
LBW242	ENSG00000197586
LBW242	ENSG00000175701
LBW242	ENSG00000165916
LBW242	ENSG00000260804
LBW242	ENSG00000119977
LBW242	ENSG00000165186
LBW242	ENSG00000084734
LBW242	ENSG00000122882
LBW242	ENSG00000102312
LBW242	ENSG00000198398
LBW242	ENSG00000133020
LBW242	LRG_50
LBW242	ENSG00000176678
LBW242	ENSG00000162989
LBW242	ENSG00000112561
LBW242	ENSG00000136868
LBW242	ENSG00000100938
LBW242	ENSG00000277101
LBW242	ENSG00000165609
LBW242	ENSG00000178217
LBW242	ENSG00000249853
LBW242	ENSG00000113356
LBW242	ENSG00000218109
LBW242	ENSG00000079313
LBW242	ENSG00000110756
LBW242	ENSG00000033627
