Response	Gene ENSEMBL ID	quantitative sorting score	visualization score	baseline score	Percent appearing in restart set
PD-0332991	ENSG00000118898	0.007321370843832807	1.0	-0.1674767962875365	1.0
PD-0332991	ENSG00000149418	0.006463570655222736	0.8891515538858763	-0.19317499502819085	1.0
PD-0332991	ENSG00000184292	0.006192922593728678	0.8541773052685755	-0.20254039226993809	1.0
PD-0332991	ENSG00000181885	0.006042039643467683	0.8346795937926124	-0.19551063659396498	1.0
PD-0332991	ENSG00000104413	0.00586091061923975	0.8112733610260204	-0.2131803074752358	1.0
PD-0332991	ENSG00000065802	0.005819732812842558	0.8059521965938781	0.2122550612922931	1.0
PD-0332991	ENSG00000156453	0.005796221457359251	0.8029139631498119	-0.21075152383174658	1.0
PD-0332991	ENSG00000166145	0.0057854700759243614	0.8015246257009955	-0.19057754333603383	1.0
PD-0332991	ENSG00000123836	0.005762033155964024	0.7984960111194179	-0.20983672589209262	1.0
PD-0332991	ENSG00000146904	0.005741608281946414	0.7958566254244841	-0.20998685666038888	1.0
PD-0332991	ENSG00000104626	0.005726098051747488	0.7938523300894492	0.20535738319531419	1.0
PD-0332991	ENSG00000062038	0.0055698359969707095	0.7736595087441047	-0.20241314718606238	1.0
PD-0332991	ENSG00000188613	0.005459021959270615	0.7593396659068223	-0.19869888271931596	1.0
PD-0332991	ENSG00000095066	0.005429745224734942	0.755556406619093	-0.1969149082290386	1.0
PD-0332991	ENSG00000008311	0.005419306773820123	0.7542075073309952	0.19733007791857166	1.0
PD-0332991	ENSG00000162522	0.005414940712485845	0.7536433070417321	-0.19709863850023962	1.0
PD-0332991	ENSG00000050730	0.005411349595284495	0.7531792482004438	0.1963275206359895	1.0
PD-0332991	ENSG00000075336	0.0053476368855133955	0.7449460314564721	0.1941824627261335	1.0
PD-0332991	ENSG00000148516	0.005323928807521064	0.741882376725805	0.19352623345359232	1.0
PD-0332991	ENSG00000004700	0.0053079847110612845	0.7398220154193753	0.1943129110713224	1.0
PD-0332991	ENSG00000162069	0.005307926430151587	0.7398144841220361	-0.19317438591775662	1.0
PD-0332991	ENSG00000049283	0.005300839138459376	0.7388986353245298	-0.193192376061813	1.0
PD-0332991	ENSG00000026025	0.0052921378450179754	0.7377742186247328	0.1767253234675409	1.0
PD-0332991	ENSG00000170946	0.005267769085519845	0.7346251879297483	0.19230611901787165	1.0
PD-0332991	ENSG00000149573	0.005260807846949095	0.7337256282317636	-0.1715876313073154	1.0
PD-0332991	ENSG00000165105	0.005255049475165255	0.7329815078959773	-0.19156841121124846	1.0
PD-0332991	ENSG00000116133	0.0052135566636628905	0.7276196372167507	-0.1896835224031467	1.0
PD-0332991	ENSG00000143412	0.00518718939371094	0.7242123508332151	-0.1813481312629425	1.0
PD-0332991	ENSG00000206075	0.005186496367595675	0.7241227951662735	-0.18641583597616956	1.0
PD-0332991	ENSG00000152240	0.005185882280551277	0.7240434403286853	0.17386774628283114	1.0
PD-0332991	ENSG00000066557	0.005179399219367506	0.7232056726669082	0.18889865330217984	1.0
PD-0332991	ENSG00000163738	0.005177750516075206	0.7229926204893948	0.18776306081794736	1.0
PD-0332991	ENSG00000147874	0.005176257100326091	0.7227996352028563	0.1730542363831149	1.0
PD-0332991	ENSG00000128585	0.00516847323509204	0.7217937723254485	0.18695102512662726	1.0
PD-0332991	ENSG00000100034	0.00516671919495353	0.721567108090167	0.18906767693212728	1.0
PD-0332991	ENSG00000083307	0.005162673379578484	0.7210442912925684	-0.18678227343939582	1.0
PD-0332991	ENSG00000125850	0.005131233096446735	0.7169814494130516	-0.18687330149895456	1.0
PD-0332991	ENSG00000164855	0.0051138141999345545	0.7147305084164932	-0.18573025056890763	1.0
PD-0332991	ENSG00000140832	0.005105454391726929	0.71365021983422	-0.18599672991849103	1.0
PD-0332991	ENSG00000117984	0.005097125417933645	0.7125739158009848	-0.18584096888286428	1.0
PD-0332991	ENSG00000151882	0.005080278429265906	0.7103968790734143	-0.18315722909603482	1.0
PD-0332991	ENSG00000132698	0.005056327217394276	0.7073018055892009	-0.1839775215252219	1.0
PD-0332991	ENSG00000121851	0.005055433856616967	0.7071863618584825	0.18380369961975762	1.0
PD-0332991	ENSG00000123737	0.005040159083203222	0.7052124932115165	0.1835931446024332	1.0
PD-0332991	ENSG00000124839	0.005037011667580917	0.7048057713016354	-0.18373896340252482	1.0
PD-0332991	ENSG00000137699	0.0050208886069580605	0.7027222835146446	-0.18141290786405445	1.0
PD-0332991	ENSG00000143479	0.004979642591089987	0.6973923047759097	0.1823976379201032	1.0
PD-0332991	ENSG00000175591	0.004978641053996922	0.6972628820595639	-0.18072004687132176	1.0
PD-0332991	ENSG00000189280	0.00497589790942309	0.696908401706781	-0.18045997253086013	1.0
PD-0332991	ENSG00000142910	0.004959378340232152	0.6947736754621326	-0.1786016239253101	1.0
PD-0332991	ENSG00000164134	0.004957358441466046	0.6945126558884561	0.17809491779419975	1.0
PD-0332991	ENSG00000114544	0.004954750398661966	0.6941756339385079	-0.17927681957289096	1.0
PD-0332991	ENSG00000128512	0.004936472198298993	0.6918136501864627	0.17586215724633247	1.0
PD-0332991	ENSG00000147316	0.004908098023431318	0.6881470233477015	0.17872855864554366	1.0
PD-0332991	ENSG00000139350	0.004888480525849569	0.685611970135475	0.16907808343143857	1.0
PD-0332991	ENSG00000166619	0.004869009238416388	0.6830958107961924	-0.17625226839750666	1.0
PD-0332991	ENSG00000183542	0.004865650122618171	0.682661732124383	0.168061599469742	1.0
PD-0332991	ENSG00000188910	0.004865100375219501	0.6825906915187653	-0.1747067849242182	1.0
PD-0332991	ENSG00000104613	0.004863507700321248	0.6823848795593129	0.1752312534860027	1.0
PD-0332991	ENSG00000105357	0.004855746974326787	0.6813820068290127	-0.17560262281267555	1.0
PD-0332991	ENSG00000102890	0.004851121945612473	0.6807843417165281	-0.17337988185940956	1.0
PD-0332991	ENSG00000115339	0.0048501047813256735	0.6806528995903411	-0.17665957121406542	1.0
PD-0332991	ENSG00000176532	0.004849615939693998	0.6805897294768501	-0.1764847826205667	1.0
PD-0332991	ENSG00000115221	0.0048300841050018745	0.6780657459733166	-0.17570533427846666	1.0
PD-0332991	ENSG00000166130	0.004827019556603171	0.6776697325047392	0.17452035035972466	1.0
PD-0332991	ENSG00000091732	0.004826612766428946	0.6776171654159158	0.17532567242843433	1.0
PD-0332991	ENSG00000115758	0.004819349954028403	0.6766786351151437	0.17422252060002233	1.0
PD-0332991	ENSG00000089356	0.004819080567655553	0.6766438239070893	-0.17517864231691144	1.0
PD-0332991	ENSG00000121211	0.004814759613417638	0.6760854525411665	0.17433502022772335	1.0
PD-0332991	ENSG00000255561	0.004801085786430915	0.6743184647344052	0.17301211545878564	1.0
PD-0332991	ENSG00000196187	0.004795286676886885	0.673569080098756	-0.17476000591406424	1.0
PD-0332991	ENSG00000059758	0.004792322086750703	0.6731859836453808	0.17589041027125354	1.0
PD-0332991	ENSG00000055130	0.004787609303753268	0.6725769785657887	0.1686831534061869	1.0
PD-0332991	ENSG00000189334	0.0047757520598968	0.6710447370553089	-0.17319244300051953	1.0
PD-0332991	ENSG00000073350	0.004753108134494779	0.6681185964714448	-0.1729474889398667	1.0
PD-0332991	ENSG00000154719	0.004747469895591037	0.6673900001973956	0.17282007686848008	1.0
